t,U,j
0.0,-0.21179450760442142,-0.1880793039864716
0.020042823000787635,-0.21079236645438204,-0.007088936291584105
0.04008564600157527,-0.20979022530434266,0.1283405397757292
0.060128469002354024,-0.20878808415430372,0.1581154116889877
0.08017129200314166,-0.20778594300426434,0.18789028360225984
0.1002141150039293,-0.20678380185422496,0.2034638753202171
0.12025693800470805,-0.20578166070418602,0.21441017261411388
0.14029976100549568,-0.20477951955414664,0.22396089742297703
0.16034258400628332,-0.20377737840410726,0.23240219171969556
0.18038540700707095,-0.20277523725406787,0.239893361896261
0.2004282300078497,-0.20177309610402894,0.24654000670688278
0.22047105300863734,-0.20077095495398956,0.25241883186708036
0.24051387600942498,-0.19976881380395017,0.2575888488368491
0.26055669901020373,-0.19876667265391124,0.26209729275483995
0.28059952201099136,-0.19776453150387185,0.26599484763034126
0.300642345011779,-0.19676239035383247,0.2694552020663349
0.32068516801255775,-0.19576024920379353,0.2725789858335037
0.3407279910133454,-0.19475810805375415,0.2754180745573433
0.360770814014133,-0.19375596690371477,0.27801142568335196
0.3808136370149118,-0.19275382575367583,0.28038908439670535
0.4008564600156994,-0.19175168460363645,0.2825747030264302
0.42089928301647817,-0.19074954345359751,0.28458719287964984
0.4409421060172658,-0.18974740230355813,0.2864418426940353
0.46098492901805344,-0.18874526115351875,0.28815109381390697
0.4810277520188322,-0.1877431200034798,0.28972508456856416
0.5010705750196287,-0.18674097885344,0.29117203199105635
0.5211133980204075,-0.18573883770340105,0.29249849199245714
0.5411562210211862,-0.1847366965533621,0.29370952105524223
0.5611990440219738,-0.18373455540332273,0.2948087484593117
0.5812418670227615,-0.18273241425328335,0.2957983541630955
0.6012846900235491,-0.18173027310324397,0.2966789292119921
0.6213275130243279,-0.18072813195320503,0.29744916501714386
0.6413703360251155,-0.17972599080316565,0.29813385519209873
0.6614131590259031,-0.17872384965312627,0.2987869277821011
0.6814559820266819,-0.17772170850308733,0.2994085158879045
0.7014988050274695,-0.17671956735304795,0.29999731656339523
0.7215416280282572,-0.17571742620300856,0.3005522489727628
0.7415844510290359,-0.17471528505296963,0.3010725561125821
0.7616272740298236,-0.17371314390293024,0.30155792160699035
0.7816700970306112,-0.17271100275289086,0.30200859491963855
0.8017129200313899,-0.17170886160285193,0.30242551328713146
0.8217557430321776,-0.17070672045281254,0.3028104035167127
0.8417985660329652,-0.16970457930277316,0.30316584318286005
0.8618413890337528,-0.16870243815273378,0.30349526089189455
0.8818842120345316,-0.16770029700269484,0.3038028610249711
0.9019270350353104,-0.1666981558526559,0.3040934700065992
0.9219698580361069,-0.16569601470261608,0.3043723164194398
0.9420126810368856,-0.16469387355257714,0.3046447716339844
0.9620555040376733,-0.16369173240253776,0.30491608599937026
0.9820983270384609,-0.16268959125249838,0.30519115505765115
1.0021411500392396,-0.16168745010245944,0.3054743413285263
1.0221839730400273,-0.16068530895242006,0.30576936371091906
1.042226796040806,-0.15968316780238112,0.306079253201159
1.0622696190415937,-0.15868102665234174,0.3064063639661003
1.0823124420423813,-0.15767888550230236,0.3067524241303937
1.10235526504316,-0.15667674435226342,0.30711861031154003
1.1223980880439477,-0.15567460320222404,0.30750563238439893
1.1424409110447353,-0.15467246205218466,0.3079138185589346
1.162483734045514,-0.15367032090214572,0.3083431944436001
1.1825265570463106,-0.1526681797521059,0.30879355272366127
1.2025693800470894,-0.15166603860206695,0.3092645122176424
1.222612203047868,-0.15066389745202802,0.30975556430876
1.2426550260486557,-0.14966175630198864,0.3102570225036743
1.2626978490494434,-0.14865961515194925,0.3107598927972583
1.282740672050231,-0.14765747400190987,0.31126385146912183
1.3027834950510098,-0.14665533285187093,0.311768610074206
1.3228263180517974,-0.14565319170183155,0.3122739083980156
1.342869141052585,-0.14465105055179217,0.3127795089085453
1.3629119640533638,-0.14364890940175323,0.31328519231329666
1.3829547870541514,-0.14264676825171385,0.3137907539423878
1.402997610054939,-0.14164462710167447,0.3142960007551403
1.4230404330557178,-0.14064248595163553,0.31480074882029385
1.4430832560565054,-0.13964034480159615,0.31530482115695635
1.463126079057293,-0.13863820365155677,0.31580804584961525
1.4831689020580718,-0.13763606250151783,0.31631025436929633
1.5032117250588595,-0.13663392135147845,0.316811280046436
1.5232545480596382,-0.1356317802014395,0.3173109566506338
1.5432973710604347,-0.13462963905139969,0.3178091170392395
1.5633401940612135,-0.13362749790136075,0.31830559184130264
1.5833830170619922,-0.1326253567513218,0.31880020814621274
1.6034258400627888,-0.13162321560128198,0.319292788167715
1.6234686630635675,-0.13062107445124305,0.3197831478539672
1.6435114860643552,-0.12961893330120366,0.32027109541302423
1.663554309065134,-0.12861679215116473,0.32075642972052665
1.6835971320659215,-0.12761465100112535,0.3212389385722469
1.7036399550667092,-0.12661250985108596,0.32171839673833236
1.723682778067488,-0.12561036870104703,0.32219456376809946
1.7437256010682756,-0.12460822755100764,0.32266718148357426
1.7637684240690632,-0.12360608640096826,0.3231359710858209
1.783811247069842,-0.12260394525092932,0.32360062977925114
1.8038540700706385,-0.1216018041008895,0.32406082679406095
1.8238968930714172,-0.12059966295085056,0.3245161986532162
1.843939716072196,-0.11959752180081162,0.32496634348476905
1.8639825390729836,-0.11859538065077224,0.32541081411771133
1.8840253620737712,-0.11759323950073286,0.3258491096127091
1.9040681850745589,-0.11659109835069348,0.32628066475673395
1.9241110080753376,-0.11558895720065454,0.32670483687554736
1.9441538310761253,-0.11458681605061516,0.32712088906285375
1.964196654076913,-0.11358467490057578,0.3275279685457065
1.9842394770776917,-0.11258253375053684,0.32792507832911383
