t,U,j
0.0,-0.18097691573492147,-0.15056324763145995
0.020039362219250734,-0.17997494762395894,0.05272855336722728
0.04007872443851035,-0.17897297951299596,0.19962568369687575
0.06011808665776108,-0.17797101140203342,0.2054350734304694
0.08015744887701182,-0.17696904329107088,0.2108253546470496
0.10019681109626255,-0.17596707518010835,0.215915264225132
0.12023617331552217,-0.17496510706914536,0.2207604912966906
0.1402755355347729,-0.17396313895818283,0.2253923940683933
0.16031489775403251,-0.17296117084721985,0.22983044240451933
0.18035425997328325,-0.1719592027362573,0.234087408481131
0.20039362219253398,-0.17095723462529477,0.23817190150510556
0.22043298441178472,-0.16995526651433224,0.2420897447445691
0.24047234663103545,-0.1689532984033697,0.24584478324528164
0.26051170885029507,-0.16795133029240672,0.24943938531391951
0.2805510710695458,-0.16694936218144418,0.2528747673172336
0.3005904332888054,-0.1659473940704812,0.2561512105424015
0.32062979550805615,-0.16494542595951867,0.259268208831744
0.3406691577273069,-0.16394345784855613,0.2622245698612437
0.3607085199465576,-0.1629414897375936,0.26501848410143225
0.38074788216581723,-0.1619395216266306,0.267647570339268
0.40078724438506796,-0.16093755351566807,0.2701089034952781
0.4208266066043187,-0.15993558540470554,0.27239902847761527
0.44086596882356943,-0.158933617293743,0.274513962501577
0.46090533104282905,-0.15793164918278002,0.276449187400907
0.48094469326208866,-0.15692968107181704,0.27819963280653837
0.5009840554813394,-0.1559277129608545,0.27975965057099983
0.5210234177005901,-0.15492574484989197,0.281122980409026
0.5410627799198409,-0.15392377673892943,0.2822827063630382
0.5611021421390916,-0.1529218086279669,0.2832312033534777
0.5811415043583512,-0.1519198405170039,0.2839721822800618
0.601180866577602,-0.15091787240604138,0.2846525330970337
0.6212202287968527,-0.14991590429507884,0.28531769517904537
0.6412595910161123,-0.14891393618411586,0.28596744329838314
0.661298953235363,-0.14791196807315332,0.28660164814839617
0.6813383154546138,-0.14690999996219078,0.28722029090121054
0.7013776776738734,-0.1459080318512278,0.2878234763226874
0.7214170398931241,-0.14490606374026527,0.28841144344952907
0.7414564021123748,-0.14390409562930273,0.2889845728183957
0.7614957643316256,-0.1429021275183402,0.2895433893319773
0.7815351265508763,-0.14190015940737766,0.29008856006548855
0.8015744887701359,-0.14089819129641468,0.2906208866521729
0.8216138509893955,-0.1398962231854517,0.2911412923078331
0.8416532132086463,-0.13889425507448916,0.2916508040099404
0.861692575427897,-0.13789228696352662,0.2921505307720929
0.8817319376471477,-0.13689031885256409,0.29264163928495235
0.9017712998663985,-0.13588835074160155,0.2931253283815488
0.9218106620856581,-0.13488638263063857,0.2936028038053053
0.9418500243049088,-0.13388441451967603,0.2940752546209148
0.9618893865241596,-0.1328824464087135,0.29454383234567216
0.9819287487434192,-0.13188047829775051,0.2950096335422836
1.00196811096267,-0.13087851018678798,0.2954736862582263
1.0220074731819295,-0.129876542075825,0.2959369403681842
1.0420468354011803,-0.12887457396486246,0.2964002616081075
1.062086197620431,-0.12787260585389992,0.2968644288979488
1.0821255598396817,-0.1268706377429374,0.297330134436869
1.1021649220589325,-0.12586866963197485,0.2977979860103778
1.122204284278192,-0.12486670152101187,0.29826851095846335
1.1422436464974428,-0.12386473341004933,0.2987421613005495
1.1622830087167024,-0.12286276529908635,0.2992193195815798
1.1823223709359532,-0.12186079718812382,0.2997003050808905
1.202361733155204,-0.12085882907716128,0.3001853801028381
1.2224010953744546,-0.11985686096619874,0.30067475613915234
1.2424404575937142,-0.11885489285523576,0.30116859975467264
1.262479819812965,-0.11785292474427322,0.3016670380991457
1.2825191820322157,-0.11685095663331069,0.3021641740416328
1.3025585442514664,-0.11584898852234815,0.3026528098964013
1.322597906470726,-0.11484702041138517,0.3031338104507438
1.3426372686899857,-0.11384505230042219,0.30360792236991757
1.3626766309092364,-0.11284308418945965,0.30407577223386173
1.3827159931284871,-0.11184111607849712,0.30453789165137435
1.4027553553477379,-0.11083914796753458,0.3049947359697546
1.4227947175669886,-0.10983717985657204,0.30544669846695455
1.4428340797862393,-0.1088352117456095,0.30589412128887833
1.462873442005499,-0.10783324363464653,0.30633730399697356
1.4829128042247497,-0.10683127552368399,0.3067765103314048
1.5029521664440093,-0.10582930741272101,0.30721197362128466
1.52299152866326,-0.10482733930175847,0.30764390115469836
1.5430308908825108,-0.10382537119079593,0.30807247773853874
1.5630702531017704,-0.10282340307983295,0.3084978686196644
1.5831096153210211,-0.10182143496887042,0.30892022189665796
1.6031489775402719,-0.10081946685790788,0.30933967052073513
1.6231883397595226,-0.09981749874694534,0.3097563339614146
1.6432277019787733,-0.0988155306359828,0.31017031959543145
1.663267064198033,-0.09781356252501983,0.31058172386421007
1.6833064264172926,-0.09681159441405685,0.3109906332349522
1.7033457886365433,-0.09580962630309431,0.311397124992352
1.723385150855794,-0.09480765819213177,0.31180126788126017
1.7434245130750448,-0.09380569008116924,0.3122031226150534
1.7634638752942955,-0.0928037219702067,0.31260274225955526
1.783503237513555,-0.09180175385924372,0.3130001724976751
1.8035425997328058,-0.09079978574828118,0.3133954517753784
1.8235819619520566,-0.08979781763731864,0.3137886113245338
1.8436213241713162,-0.08879584952635566,0.314179675052485
1.863660686390567,-0.08779388141539313,0.31456865928100114
1.8837000486098177,-0.08679191330443059,0.31495557230797316
1.9037394108290773,-0.08578994519346761,0.31534041375257404
1.923778773048328,-0.08478797708250507,0.3157231736266681
1.9438181352675787,-0.08378600897154254,0.3161038310491347
1.9638574974868295,-0.08278404086058,0.31648235248052287
1.9838968597060802,-0.08178207274961746,0.3168586892946598
2.00393622192534,-0.08078010463865448,0.3172327744066581
