t,E,j
0.0,-0.5884771115540892,-0.02501689727682951
0.050000000000000044,-0.5894771115540892,-0.024909342694299653
0.10000000000000009,-0.5904771115540892,-0.024755859441774462
0.15000000000000013,-0.5914771115540892,-0.024516895811134122
0.20000000000000018,-0.5924771115540892,-0.023995559185235004
0.23113894008449098,-0.5918543327523994,-0.022377066857587027
0.28113894008449103,-0.5908543327523994,-0.021595370798992573
0.3311389400844911,-0.5898543327523994,-0.020859223515298914
0.3811389400844911,-0.5888543327523994,-0.01998161977417235
0.40000000000000036,-0.5884771115540892,-0.019272683733564867
0.420072122818832,-0.5888785540104658,-0.014481666912004938
0.47007212281883204,-0.5878785540104658,-0.013422297134588281
0.4860129053673501,-0.5875597383594955,-0.013207249814788505
0.5360129053673501,-0.5865597383594955,-0.012705274026501139
0.5860129053673502,-0.5855597383594955,-0.012345973051090432
0.6360129053673502,-0.5845597383594955,-0.01206396243509203
0.6860129053673503,-0.5835597383594955,-0.0118348836571014
0.7360129053673503,-0.5825597383594955,-0.011646227178803616
0.745914917633661,-0.5823616981141693,-0.01161295283280083
0.7959149176336611,-0.5813616981141693,-0.011456574254959509
0.8459149176336611,-0.5803616981141693,-0.011315233289360793
0.8959149176336612,-0.5793616981141693,-0.011186541439600777
0.9459149176336612,-0.5783616981141693,-0.011068606767934306
0.9959149176336612,-0.5773616981141693,-0.010959895323505978
1.0459149176336613,-0.5763616981141693,-0.010859138042373715
1.0959149176336613,-0.5753616981141693,-0.01076526604020563
1.1459149176336614,-0.5743616981141693,-0.010677364304775958
1.1959149176336614,-0.5733616981141693,-0.010594637689145092
1.2459149176336615,-0.5723616981141693,-0.010516385345281452
1.2959149176336615,-0.5713616981141693,-0.010441981075778714
1.3459149176336616,-0.5703616981141693,-0.01037085790753118
1.3959149176336616,-0.5693616981141693,-0.010302495715874018
1.4459149176336616,-0.5683616981141693,-0.010236411068599786
1.4959149176336617,-0.5673616981141693,-0.010172148684694985
1.5459149176336617,-0.5663616981141693,-0.010109274053245807
1.5959149176336618,-0.5653616981141693,-0.01004736685844012
1.6459149176336618,-0.5643616981141693,-0.009986014922102307
1.6959149176336619,-0.5633616981141693,-0.00992480841494492
1.745914917633662,-0.5623616981141693,-0.009863334106970701
1.795914917633662,-0.5613616981141692,-0.009801169428614274
1.845914917633662,-0.5603616981141692,-0.00973787609728225
1.8772602861582777,-0.5597347907436769,-0.009697416767067573
1.9272602861582777,-0.5587347907436769,-0.009632947451131668
1.9772602861582778,-0.5577347907436769,-0.009569715507716382
2.0272602861582776,-0.5567347907436769,-0.009507686313119266
2.077260286158278,-0.5557347907436769,-0.009446825882257866
2.1272602861582777,-0.5547347907436769,-0.00938710084202251
2.177260286158278,-0.5537347907436769,-0.009328478405680511
2.2272602861582778,-0.5527347907436769,-0.009270926348272113
2.277260286158278,-0.5517347907436769,-0.00921441298294205
2.327260286158278,-0.5507347907436769,-0.009158907138153984
2.377260286158278,-0.5497347907436769,-0.009104378135738037
2.427260286158278,-0.5487347907436769,-0.009050795769724564
2.477260286158278,-0.5477347907436769,-0.00899813028591994
2.527260286158278,-0.5467347907436769,-0.008946352362182539
2.5772602861582783,-0.5457347907436769,-0.00889543308935944
2.627260286158278,-0.5447347907436769,-0.008845343952846441
2.6772602861582784,-0.5437347907436769,-0.008796056814736
2.727260286158278,-0.5427347907436769,-0.008747543896519468
2.7772602861582785,-0.5417347907436769,-0.008699777762311775
2.8272602861582783,-0.5407347907436769,-0.008652731302568238
2.8772602861582786,-0.5397347907436769,-0.00860637771826465
2.9272602861582784,-0.5387347907436769,-0.008560690505513205
2.9772602861582786,-0.5377347907436769,-0.008515643440588035
3.0272602861582785,-0.5367347907436769,-0.00847121056533533
3.0772602861582787,-0.5357347907436769,-0.00842736617294414
3.1272602861582786,-0.5347347907436769,-0.00838408479405488
3.177260286158279,-0.5337347907436769,-0.008341341183183623
3.2272602861582786,-0.5327347907436769,-0.008299110305440985
3.277260286158279,-0.5317347907436769,-0.00825736732352535
3.3272602861582787,-0.5307347907436769,-0.008216087584970819
3.377260286158279,-0.5297347907436769,-0.008175246609630963
3.427260286158279,-0.5287347907436769,-0.008134820077380134
3.477260286158279,-0.5277347907436769,-0.008094783816014585
3.527260286158279,-0.5267347907436769,-0.008055113789336208
3.577260286158279,-0.5257347907436769,-0.008015786085402151
3.627260286158279,-0.5247347907436769,-0.007976776904923998
3.6772602861582793,-0.5237347907436769,-0.0079380625498006
3.727260286158279,-0.5227347907436769,-0.007899619411768883
3.7772602861582794,-0.5217347907436769,-0.00786142396115738
3.827260286158279,-0.5207347907436769,-0.007823452735727394
3.8772602861582794,-0.5197347907436769,-0.007785682329586906
3.9272602861582793,-0.5187347907436769,-0.007748089382162577
3.9772602861582795,-0.5177347907436769,-0.007710650567215247
4.027260286158279,-0.5167347907436769,-0.007673342581884487
4.077260286158279,-0.5157347907436769,-0.007636142135747786
4.094082363477846,-0.5153983491972856,-0.007623646459279669
4.144082363477847,-0.5143983491972856,-0.0075867661598684275
4.194082363477847,-0.5133983491972856,-0.007550373091746606
4.244082363477847,-0.5123983491972856,-0.007514457353594624
4.294082363477846,-0.5113983491972856,-0.007479009089240206
4.344082363477847,-0.5103983491972856,-0.007444018486571518
4.394082363477847,-0.5093983491972855,-0.007409475776462627
4.444082363477847,-0.5083983491972855,-0.007375371231710951
4.494082363477847,-0.5073983491972855,-0.007341695165986346
4.544082363477847,-0.5063983491972855,-0.007308437932791494
4.594082363477847,-0.5053983491972855,-0.007275589924433274
4.644082363477847,-0.5043983491972855,-0.007243141571004766
4.694082363477847,-0.5033983491972855,-0.007211083339377607
4.7440823634778475,-0.5023983491972855,-0.007179405732204348
4.794082363477847,-0.5013983491972855,-0.007148099286930533
